startedAt;valueprodnet;valueprodnet;valueprodnet;valueprodauto;valueprodauto;valueprodshared;valueprodshared
;df-prod-Gaby_Prod;df-prod-MarcSud;df-prod-Véronique-Prod;df-prod-Gaby-Autocons;df-prod-Véronique-Autocons;df-prod-Gaby-Comm;df-prod-Véronique-Comm
2025-03-01 00:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 00:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 00:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 00:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 01:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 01:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 01:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 01:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 02:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 02:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 02:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 02:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 03:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 03:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 03:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 03:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 04:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 04:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 04:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 04:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 05:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 05:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 05:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 05:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 06:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 06:15:00+00:00;0.0;0.004;0.02;;0.02;;0.0
2025-03-01 06:30:00+00:00;0.0;0.204;0.484;;0.484;;0.0
2025-03-01 06:45:00+00:00;0.0;0.604;1.268;;1.268;;0.0
2025-03-01 07:00:00+00:00;0.032;1.028;1.992;;1.992;;0.0
2025-03-01 07:15:00+00:00;0.168;1.584;2.504;;2.504;;0.0
2025-03-01 07:30:00+00:00;0.432;2.068;3.148;;3.148;;0.0
2025-03-01 07:45:00+00:00;0.792;2.028;3.028;;3.028;;0.0
2025-03-01 08:00:00+00:00;1.2;0.992;1.332;;1.332;;0.0
2025-03-01 08:15:00+00:00;1.9;1.896;2.5;;2.5;;0.0
2025-03-01 08:30:00+00:00;3.616;4.028;5.464;;5.464;;0.0
2025-03-01 08:45:00+00:00;3.096;3.264;4.564;;4.564;;0.0
