startedAt;valueprodnet;valueprodnet;valueprodnet
;df-prod-Gaby_Prod;df-prod-MarcSud;df-prod-Véronique-Prod
2025-03-01 00:00:00+00:00;0.0;0.0;0.0
2025-03-01 00:15:00+00:00;0.0;0.0;0.0
2025-03-01 00:30:00+00:00;0.0;0.0;0.0
2025-03-01 00:45:00+00:00;0.0;0.0;0.0
2025-03-01 01:00:00+00:00;0.0;0.0;0.0
2025-03-01 01:15:00+00:00;0.0;0.0;0.0
2025-03-01 01:30:00+00:00;0.0;0.0;0.0
2025-03-01 01:45:00+00:00;0.0;0.0;0.0
2025-03-01 02:00:00+00:00;0.0;0.0;0.0
2025-03-01 02:15:00+00:00;0.0;0.0;0.0
2025-03-01 02:30:00+00:00;0.0;0.0;0.0
2025-03-01 02:45:00+00:00;0.0;0.0;0.0
2025-03-01 03:00:00+00:00;0.0;0.0;0.0
2025-03-01 03:15:00+00:00;0.0;0.0;0.0
2025-03-01 03:30:00+00:00;0.0;0.0;0.0
2025-03-01 03:45:00+00:00;0.0;0.0;0.0
2025-03-01 04:00:00+00:00;0.0;0.0;0.0
2025-03-01 04:15:00+00:00;0.0;0.0;0.0
2025-03-01 04:30:00+00:00;0.0;0.0;0.0
2025-03-01 04:45:00+00:00;0.0;0.0;0.0
2025-03-01 05:00:00+00:00;0.0;0.0;0.0
2025-03-01 05:15:00+00:00;0.0;0.0;0.0
2025-03-01 05:30:00+00:00;0.0;0.0;0.0
2025-03-01 05:45:00+00:00;0.0;0.0;0.0
2025-03-01 06:00:00+00:00;0.0;0.0;0.0
2025-03-01 06:15:00+00:00;0.0;0.004;0.02
2025-03-01 06:30:00+00:00;0.0;0.204;0.484
2025-03-01 06:45:00+00:00;0.0;0.604;1.268
2025-03-01 07:00:00+00:00;0.032;1.028;1.992
2025-03-01 07:15:00+00:00;0.168;1.584;2.504
2025-03-01 07:30:00+00:00;0.432;2.068;3.148
2025-03-01 07:45:00+00:00;0.792;2.028;3.028
2025-03-01 08:00:00+00:00;1.2;0.992;1.332
2025-03-01 08:15:00+00:00;1.9;1.896;2.5
2025-03-01 08:30:00+00:00;3.616;4.028;5.464
2025-03-01 08:45:00+00:00;3.096;3.264;4.564
2025-03-01 09:00:00+00:00;3.112;2.712;3.788
2025-03-01 09:15:00+00:00;2.212;1.452;1.876
2025-03-01 09:30:00+00:00;1.996;1.272;1.58
2025-03-01 09:45:00+00:00;1.552;0.908;1.128
2025-03-01 10:00:00+00:00;0.932;0.608;0.764
2025-03-01 10:15:00+00:00;0.728;0.456;0.604
2025-03-01 10:30:00+00:00;0.572;0.408;0.532
2025-03-01 10:45:00+00:00;1.268;0.812;1.048
2025-03-01 11:00:00+00:00;1.3;0.836;1.044
2025-03-01 11:15:00+00:00;1.228;0.732;0.908
2025-03-01 11:30:00+00:00;0.756;0.528;0.68
2025-03-01 11:45:00+00:00;1.644;1.06;1.348
2025-03-01 12:00:00+00:00;3.236;1.828;2.304
2025-03-01 12:15:00+00:00;1.284;0.728;0.9
2025-03-01 12:30:00+00:00;1.864;1.188;1.452
2025-03-01 12:45:00+00:00;2.264;1.256;1.548
2025-03-01 13:00:00+00:00;1.072;0.728;0.972
2025-03-01 13:15:00+00:00;6.136;2.936;3.7
2025-03-01 13:30:00+00:00;6.94;2.904;3.72
2025-03-01 13:45:00+00:00;4.592;2.412;2.696
2025-03-01 14:00:00+00:00;3.7;1.764;2.044
2025-03-01 14:15:00+00:00;2.068;1.148;1.4
2025-03-01 14:30:00+00:00;2.2;1.148;1.384
2025-03-01 14:45:00+00:00;3.596;1.304;1.528
2025-03-01 15:00:00+00:00;6.256;1.976;1.948
2025-03-01 15:15:00+00:00;2.292;0.924;1.064
2025-03-01 15:30:00+00:00;0.968;0.516;0.648
2025-03-01 15:45:00+00:00;1.112;0.572;0.684
2025-03-01 16:00:00+00:00;0.788;0.336;0.412
2025-03-01 16:15:00+00:00;0.468;0.256;0.336
2025-03-01 16:30:00+00:00;0.456;0.196;0.248
2025-03-01 16:45:00+00:00;0.16;0.084;0.12
2025-03-01 17:00:00+00:00;0.0;0.008;0.016
2025-03-01 17:15:00+00:00;0.0;0.0;0.0
2025-03-01 17:30:00+00:00;0.0;0.0;0.0
2025-03-01 17:45:00+00:00;0.0;0.0;0.0
2025-03-01 18:00:00+00:00;0.0;0.0;0.0
2025-03-01 18:15:00+00:00;0.0;0.0;0.0
2025-03-01 18:30:00+00:00;0.0;0.0;0.0
2025-03-01 18:45:00+00:00;0.0;0.0;0.0
2025-03-01 19:00:00+00:00;0.0;0.0;0.0
2025-03-01 19:15:00+00:00;0.0;0.0;0.0
2025-03-01 19:30:00+00:00;0.0;0.0;0.0
2025-03-01 19:45:00+00:00;0.0;0.0;0.0
2025-03-01 20:00:00+00:00;0.0;0.0;0.0
2025-03-01 20:15:00+00:00;0.0;0.0;0.0
2025-03-01 20:30:00+00:00;0.0;0.0;0.0
2025-03-01 20:45:00+00:00;0.0;0.0;0.0
2025-03-01 21:00:00+00:00;0.0;0.0;0.0
2025-03-01 21:15:00+00:00;0.0;0.0;0.0
2025-03-01 21:30:00+00:00;0.0;0.0;0.0
2025-03-01 21:45:00+00:00;0.0;0.0;0.0
2025-03-01 22:00:00+00:00;0.0;0.0;0.0
2025-03-01 22:15:00+00:00;0.0;0.0;0.0
2025-03-01 22:30:00+00:00;0.0;0.0;0.0
2025-03-01 22:45:00+00:00;0.0;0.0;0.0
2025-03-01 23:00:00+00:00;0.0;0.0;0.0
2025-03-01 23:15:00+00:00;0.0;0.0;0.0
2025-03-01 23:30:00+00:00;0.0;0.0;0.0
2025-03-01 23:45:00+00:00;0.0;0.0;0.0
2025-03-02 00:00:00+00:00;0.0;0.0;0.0
2025-03-02 00:15:00+00:00;0.0;0.0;0.0
2025-03-02 00:30:00+00:00;0.0;0.0;0.0
2025-03-02 00:45:00+00:00;0.0;0.0;0.0
2025-03-02 01:00:00+00:00;0.0;0.0;0.0
2025-03-02 01:15:00+00:00;0.0;0.0;0.0
2025-03-02 01:30:00+00:00;0.0;0.0;0.0
2025-03-02 01:45:00+00:00;0.0;0.0;0.0
2025-03-02 02:00:00+00:00;0.0;0.0;0.0
2025-03-02 02:15:00+00:00;0.0;0.0;0.0
2025-03-02 02:30:00+00:00;0.0;0.0;0.0
2025-03-02 02:45:00+00:00;0.0;0.0;0.0
2025-03-02 03:00:00+00:00;0.0;0.0;0.0
2025-03-02 03:15:00+00:00;0.0;0.0;0.0
2025-03-02 03:30:00+00:00;0.0;0.0;0.0
2025-03-02 03:45:00+00:00;0.0;0.0;0.0
2025-03-02 04:00:00+00:00;0.0;0.0;0.0
2025-03-02 04:15:00+00:00;0.0;0.0;0.0
2025-03-02 04:30:00+00:00;0.0;0.0;0.0
2025-03-02 04:45:00+00:00;0.0;0.0;0.0
2025-03-02 05:00:00+00:00;0.0;0.0;0.0
2025-03-02 05:15:00+00:00;0.0;0.0;0.0
2025-03-02 05:30:00+00:00;0.0;0.0;0.0
2025-03-02 05:45:00+00:00;0.0;0.0;0.0
2025-03-02 06:00:00+00:00;0.0;0.0;0.0
2025-03-02 06:15:00+00:00;0.0;0.036;0.184
2025-03-02 06:30:00+00:00;0.0;0.464;1.044
2025-03-02 06:45:00+00:00;0.0;0.684;1.22
2025-03-02 07:00:00+00:00;0.024;1.3;2.16
2025-03-02 07:15:00+00:00;0.2;1.656;2.648
2025-03-02 07:30:00+00:00;0.588;2.2;3.408
2025-03-02 07:45:00+00:00;0.94;2.608;4.012
2025-03-02 08:00:00+00:00;1.32;2.624;3.936
2025-03-02 08:15:00+00:00;2.28;3.508;5.084
2025-03-02 08:30:00+00:00;2.532;3.36;4.764
2025-03-02 08:45:00+00:00;2.616;2.908;4.12
2025-03-02 09:00:00+00:00;4.4;4.532;6.232
2025-03-02 09:15:00+00:00;4.488;4.296;5.86
2025-03-02 09:30:00+00:00;4.78;4.332;5.764
2025-03-02 09:45:00+00:00;6.0;4.956;6.644
2025-03-02 10:00:00+00:00;6.848;5.328;7.076
2025-03-02 10:15:00+00:00;7.144;5.284;7.0
2025-03-02 10:30:00+00:00;7.708;5.42;7.136
2025-03-02 10:45:00+00:00;8.112;5.496;7.148
2025-03-02 11:00:00+00:00;8.088;5.268;6.848
2025-03-02 11:15:00+00:00;8.676;5.432;7.008
2025-03-02 11:30:00+00:00;9.056;5.468;7.032
2025-03-02 11:45:00+00:00;9.296;5.416;6.92
2025-03-02 12:00:00+00:00;9.4;5.268;6.732
2025-03-02 12:15:00+00:00;9.58;5.176;6.612
2025-03-02 12:30:00+00:00;9.516;4.976;6.324
2025-03-02 12:45:00+00:00;9.568;4.784;6.052
2025-03-02 13:00:00+00:00;9.532;4.588;5.744
2025-03-02 13:15:00+00:00;9.428;4.352;5.388
2025-03-02 13:30:00+00:00;9.296;4.076;5.02
2025-03-02 13:45:00+00:00;9.072;3.784;4.616
2025-03-02 14:00:00+00:00;8.828;3.464;3.964
2025-03-02 14:15:00+00:00;8.468;3.124;3.476
2025-03-02 14:30:00+00:00;8.124;2.772;2.952
2025-03-02 14:45:00+00:00;7.804;2.416;2.356
2025-03-02 15:00:00+00:00;7.324;2.028;1.756
2025-03-02 15:15:00+00:00;6.732;1.62;1.308
2025-03-02 15:30:00+00:00;6.116;1.244;0.896
2025-03-02 15:45:00+00:00;5.436;0.872;0.54
2025-03-02 16:00:00+00:00;4.664;0.544;0.32
2025-03-02 16:15:00+00:00;3.804;0.268;0.224
2025-03-02 16:30:00+00:00;2.812;0.116;0.172
2025-03-02 16:45:00+00:00;1.664;0.056;0.112
2025-03-02 17:00:00+00:00;0.08;0.016;0.04
2025-03-02 17:15:00+00:00;0.0;0.0;0.004
2025-03-02 17:30:00+00:00;0.0;0.0;0.0
2025-03-02 17:45:00+00:00;0.0;0.0;0.0
2025-03-02 18:00:00+00:00;0.0;0.0;0.0
2025-03-02 18:15:00+00:00;0.0;0.0;0.0
2025-03-02 18:30:00+00:00;0.0;0.0;0.0
2025-03-02 18:45:00+00:00;0.0;0.0;0.0
2025-03-02 19:00:00+00:00;0.0;0.0;0.0
2025-03-02 19:15:00+00:00;0.0;0.0;0.0
2025-03-02 19:30:00+00:00;0.0;0.0;0.0
2025-03-02 19:45:00+00:00;0.0;0.0;0.0
2025-03-02 20:00:00+00:00;0.0;0.0;0.0
2025-03-02 20:15:00+00:00;0.0;0.0;0.0
2025-03-02 20:30:00+00:00;0.0;0.0;0.0
2025-03-02 20:45:00+00:00;0.0;0.0;0.0
2025-03-02 21:00:00+00:00;0.0;0.0;0.0
2025-03-02 21:15:00+00:00;0.0;0.0;0.0
2025-03-02 21:30:00+00:00;0.0;0.0;0.0
2025-03-02 21:45:00+00:00;0.0;0.0;0.0
2025-03-02 22:00:00+00:00;0.0;0.0;0.0
2025-03-02 22:15:00+00:00;0.0;0.0;0.0
2025-03-02 22:30:00+00:00;0.0;0.0;0.0
2025-03-02 22:45:00+00:00;0.0;0.0;0.0
2025-03-02 23:00:00+00:00;0.0;0.0;0.0
2025-03-02 23:15:00+00:00;0.0;0.0;0.0
2025-03-02 23:30:00+00:00;0.0;0.0;0.0
2025-03-02 23:45:00+00:00;0.0;0.0;0.0
2025-03-03 00:00:00+00:00;0.0;0.0;0.0
2025-03-03 00:15:00+00:00;0.0;0.0;0.0
2025-03-03 00:30:00+00:00;0.0;0.0;0.0
2025-03-03 00:45:00+00:00;0.0;0.0;0.0
