startedAt;valueprodnet;valueprodnet;valueprodnet;valueprodauto;valueprodauto;valueprodshared;valueprodshared;valueprodsold
;df-prod-Gaby;df-prod-Marc;df-prod-Véronique;df-prod-Gaby;df-prod-Véronique;df-prod-Gaby;df-prod-Véronique;df-prod-Véronique
2025-04-01 00:00:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 00:15:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 00:30:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 00:45:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 01:00:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 01:15:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 01:30:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 01:45:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 02:00:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 02:15:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 02:30:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 02:45:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 03:00:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 03:15:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 03:30:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 03:45:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 04:00:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 04:15:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 04:30:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 04:45:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 05:00:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 05:15:00+00:00;0.0;0.084;0.156;0.0;0.156;0.0;0.0;0.0
2025-04-01 05:30:00+00:00;0.0;0.34;0.664;0.0;0.664;0.0;0.0;0.0
2025-04-01 05:45:00+00:00;0.0;0.636;1.196;0.0;1.196;0.0;0.0;0.0
2025-04-01 06:00:00+00:00;0.024;1.02;1.772;0.024;1.18;0.0;0.592;0.0
2025-04-01 06:15:00+00:00;0.068;1.432;2.356;0.068;1.964;0.0;0.392;0.0
2025-04-01 06:30:00+00:00;0.132;1.84;2.908;0.132;2.112;0.0;0.796;0.0
2025-04-01 06:45:00+00:00;0.184;2.24;3.452;0.184;0.22;0.0;1.868;1.364
2025-04-01 07:00:00+00:00;0.328;2.692;4.016;0.328;2.876;0.0;1.14;0.0
2025-04-01 07:15:00+00:00;0.56;3.148;4.58;0.556;4.58;0.004;0.0;0.0
2025-04-01 07:30:00+00:00;0.84;3.556;5.064;0.804;0.284;0.007;0.961;3.819
2025-04-01 07:45:00+00:00;1.14;3.956;5.496;0.828;0.288;0.149;2.487;2.721
2025-04-01 08:00:00+00:00;1.5;4.312;5.908;1.14;0.26;0.176;2.756;2.892
2025-04-01 08:15:00+00:00;2.852;4.64;6.276;0.56;0.456;0.342;0.869;4.951
2025-04-01 08:30:00+00:00;3.436;4.932;6.62;0.612;6.344;0.988;0.097;0.179
2025-04-01 08:45:00+00:00;4.028;5.252;7.008;0.756;0.904;0.336;0.627;5.477
2025-04-01 09:00:00+00:00;4.548;5.576;7.384;1.8;0.276;0.124;0.32;6.788
2025-04-01 09:15:00+00:00;5.168;5.864;7.744;1.744;1.248;0.158;0.299;6.197
2025-04-01 09:30:00+00:00;5.968;6.372;7.976;0.584;1.184;0.314;0.396;6.396
2025-04-01 09:45:00+00:00;5.744;5.7;6.604;0.652;0.7;0.285;0.33;5.574
2025-04-01 10:00:00+00:00;7.116;6.944;7.876;0.688;2.892;0.739;0.573;4.411
2025-04-01 10:15:00+00:00;6.432;5.836;6.464;2.268;3.964;1.951;1.171;1.329
2025-04-01 10:30:00+00:00;5.168;4.484;5.172;0.78;1.2;2.069;1.873;2.099
2025-04-01 10:45:00+00:00;5.728;5.192;5.632;0.5;1.676;1.849;1.399;2.557
2025-04-01 11:00:00+00:00;5.548;4.724;5.152;0.576;1.584;3.062;2.198;1.37
2025-04-01 11:15:00+00:00;3.676;2.908;3.484;1.152;0.68;2.524;2.804;0.0
2025-04-01 11:30:00+00:00;1.936;1.472;1.716;1.512;0.28;0.424;1.436;0.0
2025-04-01 11:45:00+00:00;3.344;2.696;3.232;0.564;0.28;1.062;1.129;1.823
2025-04-01 12:00:00+00:00;2.276;1.748;2.14;0.648;0.292;0.946;1.074;0.774
2025-04-01 12:15:00+00:00;2.848;2.144;2.528;0.54;0.368;0.619;0.579;1.581
