startedAt;valueprodnet;valueprodnet;valueprodnet;valueprodauto;valueprodauto;valueprodshared;valueprodshared;valueprodsold;total_availableSharing;availableSharing-Véronique;percentageOfShared-Véronique;availableSharing-Gaby;percentageOfShared-Gaby;dayOfYear;dayOfWeek;total_production;total_shared;total_sold
;df-prod-Gaby;df-prod-Marc;df-prod-Véronique;df-prod-Gaby;df-prod-Véronique;df-prod-Gaby;df-prod-Véronique;df-prod-Véronique;;;;;;;;;;
2025-04-01 00:00:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;91;1;0.0;0;0
2025-04-01 00:15:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;91;1;0.0;0;0
2025-04-01 00:30:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;91;1;0.0;0;0
2025-04-01 00:45:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;91;1;0.0;0;0
2025-04-01 01:00:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;91;1;0.0;0;0
2025-04-01 01:15:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;91;1;0.0;0;0
2025-04-01 01:30:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;91;1;0.0;0;0
2025-04-01 01:45:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;91;1;0.0;0;0
2025-04-01 02:00:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;91;1;0.0;0;0
2025-04-01 02:15:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;91;1;0.0;0;0
2025-04-01 02:30:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;91;1;0.0;0;0
2025-04-01 02:45:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;91;1;0.0;0;0
2025-04-01 03:00:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;91;1;0.0;0;0
2025-04-01 03:15:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;91;1;0.0;0;0
2025-04-01 03:30:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;91;1;0.0;0;0
2025-04-01 03:45:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;91;1;0.0;0;0
2025-04-01 04:00:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;91;1;0.0;0;0
