startedAt;valueprodnet;valueprodnet;valueprodnet;valueprodnet
;df-prod-Gaby;df-prod-MarcNord;df-prod-MarcSud;df-prod-Véronique
2025-04-01 00:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 00:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 00:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 00:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 01:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 01:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 01:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 01:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 02:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 02:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 02:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 02:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 03:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 03:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 03:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 03:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 04:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 04:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 04:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 04:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 05:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 05:15:00+00:00;0.0;0.0;0.084;0.156
2025-04-01 05:30:00+00:00;0.0;0.0;0.34;0.664
2025-04-01 05:45:00+00:00;0.0;0.0;0.636;1.196
2025-04-01 06:00:00+00:00;0.024;0.0;1.02;1.772
2025-04-01 06:15:00+00:00;0.068;0.0;1.432;2.356
2025-04-01 06:30:00+00:00;0.132;0.0;1.84;2.908
2025-04-01 06:45:00+00:00;0.184;0.0;2.24;3.452
2025-04-01 07:00:00+00:00;0.328;0.0;2.692;4.016
2025-04-01 07:15:00+00:00;0.56;0.0;3.148;4.58
2025-04-01 07:30:00+00:00;0.84;0.0;3.556;5.064
2025-04-01 07:45:00+00:00;1.14;0.0;3.956;5.496
2025-04-01 08:00:00+00:00;1.5;0.0;4.312;5.908
2025-04-01 08:15:00+00:00;2.852;0.088;4.64;6.276
2025-04-01 08:30:00+00:00;3.436;0.088;4.932;6.62
2025-04-01 08:45:00+00:00;4.028;0.044;5.252;7.008
2025-04-01 09:00:00+00:00;4.548;0.264;5.576;7.384
2025-04-01 09:15:00+00:00;5.168;0.244;5.864;7.744
2025-04-01 09:30:00+00:00;5.968;0.18;6.372;7.976
2025-04-01 09:45:00+00:00;5.744;0.02;5.7;6.604
2025-04-01 10:00:00+00:00;7.116;0.032;6.944;7.876
2025-04-01 10:15:00+00:00;6.432;0.02;5.836;6.464
2025-04-01 10:30:00+00:00;5.168;0.004;4.484;5.172
2025-04-01 10:45:00+00:00;5.728;0.0;5.192;5.632
2025-04-01 11:00:00+00:00;5.548;0.0;4.724;5.152
2025-04-01 11:15:00+00:00;3.676;0.0;2.908;3.484
2025-04-01 11:30:00+00:00;1.936;0.004;1.472;1.716
2025-04-01 11:45:00+00:00;3.344;0.012;2.696;3.232
2025-04-01 12:00:00+00:00;2.276;0.0;1.748;2.14
2025-04-01 12:15:00+00:00;2.848;0.26;2.144;2.528
2025-04-01 12:30:00+00:00;1.184;0.02;0.944;1.112
2025-04-01 12:45:00+00:00;2.08;0.016;1.7;2.08
2025-04-01 13:00:00+00:00;2.224;0.004;1.584;1.912
2025-04-01 13:15:00+00:00;1.464;0.016;1.176;1.492
2025-04-01 13:30:00+00:00;6.236;0.204;3.872;4.656
2025-04-01 13:45:00+00:00;3.78;0.024;2.268;2.908
2025-04-01 14:00:00+00:00;6.708;0.024;4.164;4.652
2025-04-01 14:15:00+00:00;6.56;0.024;3.648;4.16
2025-04-01 14:30:00+00:00;7.372;0.024;3.752;4.2
2025-04-01 14:45:00+00:00;4.808;0.028;2.624;2.708
2025-04-01 15:00:00+00:00;6.68;0.02;2.756;2.652
2025-04-01 15:15:00+00:00;6.068;0.024;2.2;2.052
2025-04-01 15:30:00+00:00;4.916;0.02;1.916;1.568
