startedAt;prod1-1:2.29.0;source;prod1-65:2.29.1;prod1-65:2.29.2;prod1-65:2.29.3;prod1-65:2.29.9
2025-04-01 00:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 00:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 00:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 00:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 01:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 01:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 01:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 01:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 02:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 02:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 02:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 02:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 03:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 03:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 03:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 03:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 04:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 04:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 04:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 04:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 05:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 05:15:00+00:00;0.156;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 05:30:00+00:00;0.664;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 05:45:00+00:00;1.196;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 06:00:00+00:00;1.772;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 06:15:00+00:00;2.356;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 06:30:00+00:00;2.908;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 06:45:00+00:00;3.452;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 07:00:00+00:00;4.016;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 07:15:00+00:00;4.58;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 07:30:00+00:00;5.064;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 07:45:00+00:00;5.496;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 08:00:00+00:00;5.908;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 08:15:00+00:00;6.276;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 08:30:00+00:00;6.62;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 08:45:00+00:00;7.008;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 09:00:00+00:00;7.384;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 09:15:00+00:00;7.744;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 09:30:00+00:00;7.976;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 09:45:00+00:00;6.604;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 10:00:00+00:00;7.876;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 10:15:00+00:00;6.464;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 10:30:00+00:00;5.172;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 10:45:00+00:00;5.632;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 11:00:00+00:00;5.152;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 11:15:00+00:00;3.484;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 11:30:00+00:00;1.716;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 11:45:00+00:00;3.232;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 12:00:00+00:00;2.14;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 12:15:00+00:00;2.528;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 12:30:00+00:00;1.112;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 12:45:00+00:00;2.08;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 13:00:00+00:00;1.912;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 13:15:00+00:00;1.492;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 13:30:00+00:00;4.656;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 13:45:00+00:00;2.908;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 14:00:00+00:00;4.652;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 14:15:00+00:00;4.16;df-prod-Véronique-1-1:2.29.0;;;;
