startedAt;percentage_cons;valuecons;total_sum_cons
;df-cons-Marie-Anne;df-cons-Marie-Anne;
2025-05-27 22:00:00+00:00;;0.0;0.0
2025-05-27 22:15:00+00:00;;0.0;0.0
2025-05-27 22:30:00+00:00;;0.0;0.0
2025-05-27 22:45:00+00:00;;0.0;0.0
2025-05-27 23:00:00+00:00;;0.0;0.0
2025-05-27 23:15:00+00:00;;0.0;0.0
2025-05-27 23:30:00+00:00;;0.0;0.0
2025-05-27 23:45:00+00:00;;0.0;0.0
2025-05-28 00:00:00+00:00;;0.0;0.0
2025-05-28 00:15:00+00:00;;0.0;0.0
2025-05-28 00:30:00+00:00;;0.0;0.0
2025-05-28 00:45:00+00:00;;0.0;0.0
2025-05-28 01:00:00+00:00;;0.0;0.0
2025-05-28 01:15:00+00:00;;0.0;0.0
2025-05-28 01:30:00+00:00;;0.0;0.0
2025-05-28 01:45:00+00:00;;0.0;0.0
2025-05-28 02:00:00+00:00;;0.0;0.0
2025-05-28 02:15:00+00:00;;0.0;0.0
2025-05-28 02:30:00+00:00;;0.0;0.0
2025-05-28 02:45:00+00:00;;0.0;0.0
2025-05-28 03:00:00+00:00;;0.0;0.0
2025-05-28 03:15:00+00:00;;0.0;0.0
2025-05-28 03:30:00+00:00;;0.0;0.0
2025-05-28 03:45:00+00:00;;0.0;0.0
2025-05-28 04:00:00+00:00;;0.0;0.0
2025-05-28 04:15:00+00:00;;0.0;0.0
2025-05-28 04:30:00+00:00;;0.0;0.0
2025-05-28 04:45:00+00:00;;0.0;0.0
2025-05-28 05:00:00+00:00;;0.0;0.0
2025-05-28 05:15:00+00:00;100.0;0.008;0.008
2025-05-28 05:30:00+00:00;;0.0;0.0
2025-05-28 05:45:00+00:00;;0.0;0.0
2025-05-28 06:00:00+00:00;;0.0;0.0
2025-05-28 06:15:00+00:00;100.0;0.024;0.024
2025-05-28 06:30:00+00:00;100.0;0.124;0.124
2025-05-28 06:45:00+00:00;100.0;0.072;0.072
2025-05-28 07:00:00+00:00;100.0;0.136;0.136
2025-05-28 07:15:00+00:00;100.0;0.208;0.208
2025-05-28 07:30:00+00:00;100.0;0.256;0.256
2025-05-28 07:45:00+00:00;100.0;0.092;0.092
2025-05-28 08:00:00+00:00;100.0;0.124;0.124
2025-05-28 08:15:00+00:00;100.0;0.136;0.136
2025-05-28 08:30:00+00:00;100.0;0.196;0.196
2025-05-28 08:45:00+00:00;100.0;0.12;0.12
2025-05-28 09:00:00+00:00;100.0;0.08;0.08
2025-05-28 09:15:00+00:00;100.0;0.184;0.184
2025-05-28 09:30:00+00:00;100.0;0.156;0.156
2025-05-28 09:45:00+00:00;100.0;0.128;0.128
2025-05-28 10:00:00+00:00;100.0;0.108;0.108
2025-05-28 10:15:00+00:00;100.0;0.076;0.076
2025-05-28 10:30:00+00:00;100.0;0.08;0.08
2025-05-28 10:45:00+00:00;100.0;0.116;0.116
2025-05-28 11:00:00+00:00;100.0;0.108;0.108
2025-05-28 11:15:00+00:00;100.0;0.092;0.092
2025-05-28 11:30:00+00:00;100.0;0.08;0.08
2025-05-28 11:45:00+00:00;100.0;0.136;0.136
2025-05-28 12:00:00+00:00;100.0;0.172;0.172
2025-05-28 12:15:00+00:00;100.0;0.1;0.1
2025-05-28 12:30:00+00:00;100.0;0.08;0.08
2025-05-28 12:45:00+00:00;100.0;0.084;0.084
2025-05-28 13:00:00+00:00;100.0;0.132;0.132
2025-05-28 13:15:00+00:00;100.0;0.112;0.112
2025-05-28 13:30:00+00:00;100.0;0.08;0.08
2025-05-28 13:45:00+00:00;100.0;0.128;0.128
2025-05-28 14:00:00+00:00;100.0;0.104;0.104
2025-05-28 14:15:00+00:00;100.0;0.132;0.132
2025-05-28 14:30:00+00:00;100.0;0.092;0.092
2025-05-28 14:45:00+00:00;100.0;0.08;0.08
2025-05-28 15:00:00+00:00;100.0;0.12;0.12
2025-05-28 15:15:00+00:00;100.0;0.164;0.164
2025-05-28 15:30:00+00:00;100.0;0.104;0.104
2025-05-28 15:45:00+00:00;100.0;0.08;0.08
2025-05-28 16:00:00+00:00;100.0;0.084;0.084
2025-05-28 16:15:00+00:00;100.0;0.112;0.112
2025-05-28 16:30:00+00:00;100.0;0.132;0.132
2025-05-28 16:45:00+00:00;100.0;0.14;0.14
2025-05-28 17:00:00+00:00;100.0;0.08;0.08
2025-05-28 17:15:00+00:00;100.0;0.104;0.104
2025-05-28 17:30:00+00:00;100.0;0.112;0.112
2025-05-28 17:45:00+00:00;100.0;0.016;0.016
2025-05-28 18:00:00+00:00;;0.0;0.0
2025-05-28 18:15:00+00:00;;0.0;0.0
2025-05-28 18:30:00+00:00;;0.0;0.0
2025-05-28 18:45:00+00:00;;0.0;0.0
2025-05-28 19:00:00+00:00;;0.0;0.0
2025-05-28 19:15:00+00:00;;0.0;0.0
2025-05-28 19:30:00+00:00;;0.0;0.0
2025-05-28 19:45:00+00:00;;0.0;0.0
2025-05-28 20:00:00+00:00;;0.0;0.0
2025-05-28 20:15:00+00:00;;0.0;0.0
2025-05-28 20:30:00+00:00;;0.0;0.0
2025-05-28 20:45:00+00:00;;0.0;0.0
2025-05-28 21:00:00+00:00;;0.0;0.0
2025-05-28 21:15:00+00:00;;0.0;0.0
2025-05-28 21:30:00+00:00;;0.0;0.0
2025-05-28 21:45:00+00:00;;0.0;0.0
