startedAt;percentage_prod;percentage_prod;percentage_prod;valueprod;valueprod;valueprod;total_sum_prod
;df-prod-Alain;df-prod-Luc;df-prod-Madalin;df-prod-Alain;df-prod-Luc;df-prod-Madalin;
2025-07-01 00:00:00+00:00;;;;0.0;;0.0;0.0
2025-07-01 00:15:00+00:00;;;;0.0;;0.0;0.0
2025-07-01 00:30:00+00:00;;;;0.0;;0.0;0.0
2025-07-01 00:45:00+00:00;;;;0.0;;0.0;0.0
2025-07-01 01:00:00+00:00;;;;0.0;;0.0;0.0
2025-07-01 01:15:00+00:00;;;;0.0;;0.0;0.0
2025-07-01 01:30:00+00:00;;;;0.0;;0.0;0.0
2025-07-01 01:45:00+00:00;;;;0.0;;0.0;0.0
2025-07-01 02:00:00+00:00;;;;0.0;;0.0;0.0
2025-07-01 02:15:00+00:00;;;;0.0;;0.0;0.0
2025-07-01 02:30:00+00:00;;;;0.0;;0.0;0.0
2025-07-01 02:45:00+00:00;;;;0.0;;0.0;0.0
2025-07-01 03:00:00+00:00;;;;0.0;;0.0;0.0
2025-07-01 03:15:00+00:00;;;;0.0;;0.0;0.0
2025-07-01 03:30:00+00:00;;;;0.0;;0.0;0.0
2025-07-01 03:45:00+00:00;;;;0.0;;0.0;0.0
2025-07-01 04:00:00+00:00;0.0;;100.0;0.0;;0.16;0.16
2025-07-01 04:15:00+00:00;0.0;;100.0;0.0;;0.32;0.32
2025-07-01 04:30:00+00:00;0.0;;100.0;0.0;;0.264;0.264
2025-07-01 04:45:00+00:00;0.0;;100.0;0.0;;0.368;0.368
2025-07-01 05:00:00+00:00;0.0;;100.0;0.0;;0.64;0.64
2025-07-01 05:15:00+00:00;0.0;;100.0;0.0;;0.816;0.816
2025-07-01 05:30:00+00:00;0.0;;100.0;0.0;;0.984;0.984
2025-07-01 05:45:00+00:00;0.0;;100.0;0.0;;1.18;1.18
2025-07-01 06:00:00+00:00;0.0;;100.0;0.0;;1.544;1.544
2025-07-01 06:15:00+00:00;0.0;;100.0;0.0;;1.272;1.272
2025-07-01 06:30:00+00:00;0.0;;100.0;0.0;;1.32;1.32
2025-07-01 06:45:00+00:00;0.0;;100.0;0.0;;1.436;1.436
2025-07-01 07:00:00+00:00;0.0;;100.0;0.0;;1.4;1.4
2025-07-01 07:15:00+00:00;0.0;;100.0;0.0;;1.34;1.34
2025-07-01 07:30:00+00:00;0.0;;100.0;0.0;;1.324;1.324
2025-07-01 07:45:00+00:00;0.0;;100.0;0.0;;1.16;1.16
2025-07-01 08:00:00+00:00;0.0;;100.0;0.0;;1.424;1.424
2025-07-01 08:15:00+00:00;0.0;;100.0;0.0;;2.02;2.02
2025-07-01 08:30:00+00:00;0.0;;100.0;0.0;;1.504;1.504
2025-07-01 08:45:00+00:00;0.0;;100.0;0.0;;1.204;1.204
2025-07-01 09:00:00+00:00;0.0;;100.0;0.0;;1.224;1.224
2025-07-01 09:15:00+00:00;0.0;;100.0;0.0;;1.324;1.324
2025-07-01 09:30:00+00:00;0.0;;100.0;0.0;;1.228;1.228
2025-07-01 09:45:00+00:00;0.0;;100.0;0.0;;2.504;2.504
2025-07-01 10:00:00+00:00;0.0;;100.0;0.0;;4.008;4.008
2025-07-01 10:15:00+00:00;0.0;;100.0;0.0;;2.476;2.476
2025-07-01 10:30:00+00:00;0.0;;100.0;0.0;;1.372;1.372
2025-07-01 10:45:00+00:00;0.0;;100.0;0.0;;0.772;0.772
2025-07-01 11:00:00+00:00;0.0;;100.0;0.0;;0.712;0.712
2025-07-01 11:15:00+00:00;0.0;;100.0;0.0;;1.156;1.156
2025-07-01 11:30:00+00:00;0.0;;100.0;0.0;;0.828;0.828
2025-07-01 11:45:00+00:00;0.0;;100.0;0.0;;0.724;0.724
2025-07-01 12:00:00+00:00;0.0;;100.0;0.0;;1.036;1.036
2025-07-01 12:15:00+00:00;0.0;;100.0;0.0;;1.116;1.116
2025-07-01 12:30:00+00:00;0.0;;100.0;0.0;;1.448;1.448
2025-07-01 12:45:00+00:00;0.0;;100.0;0.0;;2.372;2.372
2025-07-01 13:00:00+00:00;0.0;;100.0;0.0;;2.156;2.156
2025-07-01 13:15:00+00:00;0.0;;100.0;0.0;;1.816;1.816
2025-07-01 13:30:00+00:00;0.0;;100.0;0.0;;1.948;1.948
2025-07-01 13:45:00+00:00;0.0;;100.0;0.0;;1.804;1.804
2025-07-01 14:00:00+00:00;0.0;;100.0;0.0;;3.316;3.316
2025-07-01 14:15:00+00:00;0.0;;100.0;0.0;;1.772;1.772
2025-07-01 14:30:00+00:00;0.0;;100.0;0.0;;1.46;1.46
2025-07-01 14:45:00+00:00;0.0;;100.0;0.0;;1.684;1.684
2025-07-01 15:00:00+00:00;0.0;;100.0;0.0;;1.608;1.608
2025-07-01 15:15:00+00:00;0.0;;100.0;0.0;;1.22;1.22
2025-07-01 15:30:00+00:00;0.0;;100.0;0.0;;1.344;1.344
2025-07-01 15:45:00+00:00;0.0;;100.0;0.0;;1.416;1.416
2025-07-01 16:00:00+00:00;0.0;;100.0;0.0;;1.32;1.32
2025-07-01 16:15:00+00:00;0.0;;100.0;0.0;;1.236;1.236
2025-07-01 16:30:00+00:00;0.0;;100.0;0.0;;1.728;1.728
2025-07-01 16:45:00+00:00;0.0;;100.0;0.0;;1.392;1.392
2025-07-01 17:00:00+00:00;0.0;;100.0;0.0;;1.252;1.252
2025-07-01 17:15:00+00:00;0.0;;100.0;0.0;;1.112;1.112
2025-07-01 17:30:00+00:00;0.0;;100.0;0.0;;0.912;0.912
