startedAt,prod_Véronique_1-1:2.29.0,prod_Marc_1-1:2.29.0,prod_Gaby_1-1:2.29.0,prod_Pit_1-1:2.29.0,prod_Véronique_1-65:2.29.1,prod_Véronique_1-65:2.29.2,prod_Marc_1-65:2.29.2,prod_Gaby_1-65:2.29.2,prod_Pit_1-65:2.29.2,prod_Gaby_1-65:2.29.3,prod_Véronique_1-65:2.29.9,prod_Marc_1-65:2.29.9,prod_Pit_1-65:2.29.9,cons_Véronique_1-1:1.29.0,cons_Christian_1-1:1.29.0,cons_Marc_1-1:1.29.0,cons_Reinhilde_1-1:1.29.0,cons_Gaby_Haus_1-1:1.29.0,cons_Gaby_Hall_1-1:1.29.0,cons_Pit_1-1:1.29.0,cons_Véronique_1-65:1.29.1,cons_Véronique_1-65:1.29.2,cons_Christian_1-65:1.29.2,cons_Marc_1-65:1.29.2,cons_Reinhilde_1-65:1.29.2,cons_Gaby_Haus_1-65:1.29.2,cons_Gaby_Hall_1-65:1.29.2,cons_Tina_1-65:1.29.2,cons_Pit_1-65:1.29.2,cons_Gaby_Haus_1-65:1.29.3,cons_Gaby_Hall_1-65:1.29.3,cons_Véronique_1-65:1.29.9,cons_Christian_1-65:1.29.9,cons_Marc_1-65:1.29.9,cons_Reinhilde_1-65:1.29.9,cons_Pit_1-65:1.29.9
2025-05-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.232,0.252,1.352,0.284,0.596,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.232,0.252,1.352,0.284,
2025-05-01 00:15:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.172,0.184,1.32,0.268,0.464,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.172,0.184,1.32,0.268,
2025-05-01 00:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.18,0.076,1.352,0.26,0.568,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.18,0.076,1.352,0.26,
2025-05-01 00:45:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.224,0.112,1.408,0.152,0.84,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.224,0.112,1.408,0.152,
2025-05-01 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.228,0.248,2.372,0.3,0.952,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.228,0.248,2.372,0.3,
2025-05-01 01:15:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.212,0.184,3.124,0.252,0.572,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.212,0.184,3.124,0.252,
2025-05-01 01:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.172,0.18,1.304,0.168,0.708,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.172,0.18,1.304,0.168,
2025-05-01 01:45:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.192,0.356,1.308,0.16,0.592,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.192,0.356,1.308,0.16,
2025-05-01 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.228,0.3,1.364,0.18,0.676,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.228,0.3,1.364,0.18,
2025-05-01 02:15:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.224,0.168,1.384,0.172,0.976,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.224,0.168,1.384,0.172,
2025-05-01 02:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.192,0.196,2.468,0.312,0.656,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.192,0.196,2.468,0.312,
2025-05-01 02:45:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.172,0.264,2.52,0.304,0.468,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.172,0.264,2.52,0.304,
2025-05-01 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.204,0.224,1.448,0.448,0.616,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.204,0.224,1.448,0.448,
2025-05-01 03:15:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.224,0.224,1.392,0.416,0.48,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.224,0.224,1.392,0.416,
2025-05-01 03:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.204,0.252,1.324,0.456,0.716,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.204,0.252,1.324,0.456,
